equipo1,valor_eq1,valor_empate,equipo2,valor_eq2,dia_partido,hora_partido
MVV Maastricht,2.10,3.25,AZ Alkmaar (R),3.25,12 Mar,08:00
FC Eindhoven,3.45,3.80,Almere City FC,1.85,12 Mar,10:30
FC Dordrecht,3.00,3.50,FC Oss,2.10,12 Mar,12:45
FC Den Bosch,4.20,3.75,Volendam,1.727,12 Mar,12:45
NEC Nijmegen,1.48,4.20,PSV (R),5.50,12 Mar,12:45
SBV Excelsior,1.833,3.50,Utrecht (R),3.95,12 Mar,12:45
GO Ahead Eagles,3.45,3.55,Cambuur Leeuwarden,1.909,12 Mar,15:00
SC Telstar,3.95,3.60,De Graafschap,1.80,12 Mar,15:00
Roda JC,1.95,3.60,Ajax (R),3.30,12 Mar,15:00
NAC Breda,1.363,4.75,Helmond Sport,6.50,12 Mar,15:00
